,lab,address,pincode,city,state,type,location,,
44,"Lifeline Laboratory, New Delhi","Lifeline Laboratory, H-11, Green Park Extension, New Delhi, Delhi 110016",110016,New Delhi,Delhi,Private Laboratory,"(41.7667213, 123.439979, 0.0)",,
45,"Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital New Delhi","Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital, 5, Pusa Road, New Delhi-110005, India",110005,New Delhi,Delhi,Private Laboratory,"(53.177377770818886, 63.605663318400865, 0.0)",,
46,"BJ Medical College, Ahmedabad","B j medical college, Asarwa, Civil Hospital Campus, Ahmedabad, Gujarat 380016",380016,Ahmedabad,Gujarat,Government Laboratory,"(23.054546027200253, 72.60230013468995, 0.0)",,
47,"M. P. Shah Govt Medical College, Jamnagar","M.P. Shah Govt Medical College, Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008",361008,Jamnagar,Gujarat,Government Laboratory,"(22.4782542, 70.0566851, 0.0)",,
48,"Government Medical College, Surat","Government Medical College, Opp Income Tax Department Office, Majura Gate, Surat, Gujarat 395001",395001,Surat,Gujarat,Government Laboratory,"(21.18102750391785, 72.82393145053886, 0.0)",,
49,"Government Medical College, Bhavnagar","Government Medical College, Near State Road Transport Corporation Bus Stand, Bhavnagar, Gujarat 364001",364001,Bhavnagar,Gujarat,Government Laboratory,"(43.32877583873017, 45.73436235175496, 0.0)",,
50,"Government Medical College, Vadodara","Government Medical College, Vinoba Bhave Rd, Anandpura, Vadodara, Gujarat 390001",390001,Vadodara,Gujarat,Government Laboratory,"(22.301220474536716, 73.20556257254145, 0.0)",,
51,"Government Medical College, Rajkot","Government Medical College, Pandit Dindayal Upadhyay Medical College, Sadar Civil Hospital Campus, Rajkot, Gujarat 360001",360001,Rajkot,Gujarat,Government Laboratory,"(22.294285242168243, 70.7944091559564, 0.0)",,
52,"Smt. NHL Municipal Medical College, Ahmedabad","Smt. NHL Municipal Medical College, Pritan Rai Cross Road, Ellise Bridge, Paldi, Ahmedabad, Gujarat 380006, India",380006,Ahmedabad,Gujarat,Government Laboratory,"(23.02316935, 72.56991165, 0.0)",,
53,"GMERS Medical Collage, Ahmedabad","GMERS Medical Collage, Sola, S.G. Highway, Ahmedabad, Gujarat 380060, India",380060,Ahmedabad,Gujarat,Government Laboratory,"(23.081976686959617, 72.51613220473523, 0.0)",,
54,"ICMR-National Institute of Occupational Health, Ahmedabad","ICMR-National Institute of Occupational Health, Meghani Nagar, Ahmedabad-380016, Gujarat, India",380016,Ahmedabad,Gujarat,Government Laboratory,"(23.054546027200253, 72.60230013468995, 0.0)",,
55,"Surat Municipal Institute of Medical Education & Research, Surat","Surat Municipal Institute of Medical Education & Research, Near Sahara Darwaja, Opposite to Bombay Market, Umarwada, Surat- 395010 Gujarat, India",395010,Surat,Gujarat,Government Laboratory,"(21.2144746, 72.88449330245133, 0.0)",,
56,"Unipath Speciality Laboratory Limited, Ahmedabad","Unipath Speciality Laboratory Limited,, 102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp. Parimal Garden, Ellisbridge, Ahmedabad, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,"(23.02316935, 72.56991165, 0.0)",,
57,"Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor, Kedar Builiding, Opp. Krupa petrol Pump Parimal garden, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,"(23.02316935, 72.56991165, 0.0)",,
58,"S. N. GENELAB, Nanpura, Surat","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001",395001,Surat,Gujarat,Private Laboratory,"(21.18102750391785, 72.82393145053886, 0.0)",,
